Date,Mkt-RF,SMB,HML,RMW,CMA,RF
197107,   -4.50,   -1.39,    0.02,    0.64,    1.46,    0.40
197108,    3.79,   -0.16,    2.63,   -0.43,    2.64,    0.47
197109,   -0.85,    0.28,   -2.91,    2.56,   -1.58,    0.37
197110,   -4.42,   -1.60,   -0.48,    1.62,   -1.35,    0.37
197111,   -0.46,   -2.86,   -1.68,    2.44,   -0.34,    0.37
197112,    8.71,    3.27,   -0.40,   -0.40,   -1.75,    0.37
197201,    2.49,    6.10,    2.24,   -1.69,    0.55,    0.29
197202,    2.87,    0.87,   -2.79,    1.61,   -0.52,    0.25
197203,    0.63,   -0.43,   -1.61,    1.63,   -0.18,    0.27
197204,    0.29,    0.23,    0.12,   -0.42,   -1.03,    0.29
197205,    1.25,   -3.10,   -2.70,    2.34,   -1.95,    0.30
197206,   -2.43,   -0.43,   -2.48,    1.88,   -0.36,    0.29
197207,   -0.80,   -2.77,    0.66,    1.14,   -0.66,    0.31
197208,    3.26,   -3.48,    4.54,   -1.96,    2.85,    0.29
197209,   -1.14,   -2.23,    0.46,    1.68,   -1.97,    0.34
197210,    0.52,   -2.54,    1.34,   -0.15,    0.02,    0.40
197211,    4.60,   -0.62,    4.85,   -1.95,    3.37,    0.37
197212,    0.62,   -1.89,   -2.19,    2.60,   -2.16,    0.37
197301,   -3.29,   -2.81,    2.68,    0.42,    0.90,    0.44
197302,   -4.85,   -3.91,    1.60,   -0.26,    0.02,    0.41
197303,   -1.30,   -2.33,    2.62,   -1.07,    0.62,    0.46
197304,   -5.68,   -2.90,    5.41,   -1.58,    2.60,    0.52
197305,   -2.94,   -6.17,    0.41,    1.95,   -1.57,    0.51
197306,   -1.57,   -2.48,    1.20,   -0.21,    0.11,    0.51
197307,    5.05,    7.26,   -5.31,   -0.05,   -3.28,    0.64
197308,   -3.82,   -1.84,    1.24,   -1.31,    1.30,    0.70
197309,    4.75,    3.60,    2.01,   -2.33,    1.77,    0.68
197310,   -0.83,   -0.38,    1.94,   -1.90,    2.71,    0.65
197311,  -12.75,   -7.28,    3.87,   -2.63,    1.73,    0.56
197312,    0.61,   -4.69,    3.85,   -2.78,    2.48,    0.64
197401,   -0.17,   10.41,    6.02,   -3.07,    4.42,    0.63
197402,   -0.47,    0.06,    2.81,   -1.87,    2.63,    0.58
197403,   -2.81,    2.65,   -0.32,    2.80,    0.44,    0.56
197404,   -5.29,   -0.70,    0.85,    2.87,    2.09,    0.75
197405,   -4.68,   -3.07,   -2.02,    4.95,   -0.42,    0.75
197406,   -2.83,    0.00,    0.77,    0.57,    2.94,    0.60
197407,   -8.05,    1.92,    5.16,   -3.25,    4.60,    0.70
197408,   -9.35,    0.26,    2.64,   -0.28,    2.59,    0.60
197409,  -11.77,    1.48,    5.58,   -4.44,    5.91,    0.81
197410,   16.10,   -6.82,   -9.87,   -0.21,   -2.86,    0.51
197411,   -4.51,   -1.48,   -0.20,   -3.37,    2.92,    0.54
197412,   -3.45,   -4.35,    0.11,   -0.68,    3.25,    0.70
197501,   13.66,   12.91,    8.28,   -0.78,   -0.90,    0.58
197502,    5.56,   -0.65,   -4.44,    1.16,   -2.10,    0.43
197503,    2.66,    4.00,    2.38,    1.26,   -1.33,    0.41
197504,    4.23,   -0.71,   -1.14,    1.41,   -1.34,    0.44
197505,    5.19,    2.89,   -4.10,   -0.98,   -0.60,    0.44
197506,    4.83,    1.43,    1.38,   -2.66,    1.06,    0.41
197507,   -6.59,    3.44,    1.69,    0.46,    1.22,    0.48
197508,   -2.85,   -2.84,   -0.95,    1.11,   -0.93,    0.48
197509,   -4.26,    0.05,    0.39,    0.53,    0.55,    0.53
197510,    5.31,   -4.23,    0.28,   -0.49,    2.26,    0.56
197511,    2.64,   -1.09,    2.03,   -0.68,    1.75,    0.41
197512,   -1.60,   -0.05,    1.69,   -0.09,    0.57,    0.48
197601,   12.16,    6.34,    8.63,   -1.79,    2.28,    0.47
197602,    0.32,    7.99,    5.87,   -2.64,    3.87,    0.34
197603,    2.32,   -1.38,   -0.12,   -0.33,    0.96,    0.40
197604,   -1.49,    0.08,   -0.16,    0.40,   -1.10,    0.42
197605,   -1.34,   -1.10,   -1.36,    2.46,   -1.41,    0.37
197606,    4.05,   -1.07,    0.71,   -0.68,    1.02,    0.43
197607,   -1.07,    0.63,    1.73,   -1.05,    0.28,    0.47
197608,   -0.56,   -1.98,    0.81,   -0.42,   -0.55,    0.42
197609,    2.07,    0.10,   -0.29,    0.98,   -1.15,    0.44
197610,   -2.42,    0.13,   -0.18,   -0.19,   -0.37,    0.41
197611,    0.36,    2.66,    1.51,   -1.41,    0.09,    0.40
197612,    5.65,    3.64,    2.27,   -0.61,    2.28,    0.40
197701,   -4.05,    5.90,    4.27,   -0.51,    1.97,    0.36
197702,   -1.94,    1.07,    0.47,   -0.16,   -0.22,    0.35
197703,   -1.37,    1.31,    1.09,   -0.30,   -0.06,    0.38
197704,    0.15,    0.61,    3.38,   -2.01,    1.14,    0.38
197705,   -1.45,    1.31,    0.85,    0.33,    0.19,    0.37
197706,    4.71,    2.08,   -0.74,    0.91,   -1.20,    0.40
197707,   -1.69,    1.88,   -0.56,    0.73,    0.09,    0.42
197708,   -1.75,    0.86,   -2.70,    0.98,   -0.66,    0.44
197709,   -0.27,    1.43,   -0.52,    1.43,   -0.84,    0.43
197710,   -4.38,    1.48,    1.75,   -0.20,   -0.30,    0.49
197711,    4.00,    3.64,    0.26,   -0.13,    0.73,    0.50
197712,    0.27,    1.59,   -0.29,    0.92,   -0.69,    0.49
197801,   -6.01,    2.72,    3.36,   -1.72,    1.52,    0.49
197802,   -1.38,    3.70,    0.83,    0.30,    1.01,    0.46
197803,    2.85,    3.71,    1.18,   -0.59,    1.89,    0.53
197804,    7.88,   -0.26,   -3.54,    2.81,   -1.26,    0.54
197805,    1.76,    4.58,   -0.52,    0.22,    0.41,    0.51
197806,   -1.69,    1.56,    0.57,   -1.40,   -0.07,    0.54
197807,    5.11,    0.12,   -1.15,    1.55,   -0.78,    0.56
197808,    3.75,    4.95,   -0.51,    1.43,    0.46,    0.56
197809,   -1.43,   -0.32,    1.89,   -0.67,    1.78,    0.62
197810,  -11.91,  -10.02,    1.38,    0.12,    0.94,    0.68
197811,    2.71,    2.81,   -2.15,    1.13,   -1.17,    0.70
197812,    0.88,    1.13,   -2.13,    2.01,   -1.32,    0.78
197901,    4.23,    3.78,    2.19,   -2.47,    1.52,    0.77
197902,   -3.56,    0.54,    1.17,   -1.12,    0.94,    0.73
197903,    5.68,    3.24,   -0.71,    0.53,    0.32,    0.81
197904,   -0.06,    2.37,    1.12,    1.08,    0.17,    0.80
197905,   -2.21,    0.18,    1.31,   -1.54,   -0.27,    0.82
