Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192710,  -8.8937,  -8.6198,  -2.2257,  -3.1249, -10.1170,   2.3056,  -1.0019,   0.1023,  -4.2252,  -4.3916,  -0.6665,  -1.6297,   0.3811,  -3.9966, -10.0271,   0.5125,  -1.9353,  -2.6703,  -4.7038, -11.7810,  -5.0438,  -2.2322,  -4.1542,  -6.4498, -14.5457
192711,   6.8966,  11.2831,  16.5300,   9.3968,  12.1263,  14.1996,  15.1979,   8.1785,   9.0306,   8.4672,   6.3767,   8.6450,   8.1323,   7.0418,   9.8739,   7.6668,   8.4366,   7.6681,   7.7686,   8.1010,   7.0786,   6.5042,   5.9958,   7.0421,   8.0776
192712,  -3.9895,   5.6253,   3.8034,   4.5314,   6.9476,   4.9187,   3.7364,   2.3803,   3.0063,  -0.3356,   4.5671,   4.6301,   5.0483,   3.4427,  11.3299,   0.0688,   5.5596,   4.3273,   1.6662,  -2.3196,   2.8565,   1.3058,   1.2653,   2.4490,  10.3769
192801,  -8.2364,   9.1735,   5.0289,   1.7826,   9.9855,   1.3515,   3.8725,   0.3039,   5.1745,   2.2786,   4.8614,   2.7913,   4.0871,   2.1993,  -5.8473,   1.7794,   1.0807,   0.2716,   2.2149,   0.3207,  -1.2721,  -0.2557,  -0.6328,  -1.6406,  -5.0648
192802,   0.6463,  -4.7897,   5.7752,   3.0179,  -4.8289,  -5.7780,  -2.0575,  -2.5744,  -1.9327,  -5.6043,  -2.5599,  -1.9367,  -2.8590,  -2.5201,  -6.2804,  -4.7542,  -0.8688,  -2.0537,  -3.0113,  -8.5240,  -0.1501,  -0.6324,  -0.4929,  -2.1203,  -1.3892
192803,  40.0538,   0.3317,   2.0746,  -2.6996,   8.9589,   4.7209,  11.7987,   6.8588,   7.6800,  14.3977,   6.4521,  11.7292,  10.0730,   3.1410,  11.7466,  16.3755,   9.0919,   5.4936,   7.7651,   7.9080,  15.7618,   5.2287,   6.6552,   5.6532,  16.7279
192804, -12.8663,  14.8714,  17.1059,   2.9593,  15.5896,   0.3536,  23.2107,   3.6931,   4.4740,  10.4199,   7.9350,   4.5180,   7.3613,   4.5859,   6.9890,   5.2402,   4.9500,   2.3826,   4.5398,   3.7146,   1.4240,   6.8040,   6.6218,   2.7700,   3.3096
192805,  17.7179,  -3.2401,   4.3676,  14.0931,   5.7369,   2.0846,   3.8072,   5.5440,   6.1501,   3.2917,   2.7653,   6.8507,   1.2947,  -1.3429,  -3.1876,   5.3993,  -0.3854,   1.1098,   1.1637,   2.1587,   2.0904,   2.1380,  -0.5398,   1.2095,  -3.8808
192806, -19.2709,  -8.7586, -13.2701,  -8.5641,  -9.4437,  -5.7393,  -9.2721,  -8.6130,  -7.7717,  -6.1054,  -6.4146,  -4.6534,  -7.1760,  -7.2972,  -6.8830,  -7.1399,  -5.5156,  -3.4289,  -5.7935,  -5.8891,  -3.0501,  -3.6311,  -3.5131,  -4.8622,  -9.1120
192807,  -2.0217,   3.5783,   5.3781,   2.0360,  -0.3159,   1.0836,  -3.7660,  -1.0971,   0.7975,  -2.6184,  -0.0450,  -0.3073,  -0.6790,   0.3334,   1.2948,   0.8279,  -0.6082,   1.3260,   1.5005,   0.8680,   1.5815,   0.2324,   0.1677,   0.2981,   0.7709
192808,   7.5257,   0.5454,   4.1219,   2.1206,   3.5138,   6.8023,   3.8248,   3.6769,   3.2564,   4.4985,   6.4729,   9.0259,   8.4449,   4.1657,   8.1965,   9.9038,   8.1583,   6.4443,   7.8532,   7.7317,   8.6838,   6.5887,   5.2701,   4.4373,   4.9839
192809,   3.7129,   3.1614,   1.9913,  -0.2092,  13.4251,   3.1124,   2.6504,   5.7641,   5.0156,  13.4684,   5.8003,   4.7312,   5.4875,   6.4449,   3.0627,   5.3886,   6.4645,   2.9592,   3.0408,   5.9184,   2.7157,   1.0239,   2.2561,   0.5861,   6.9590
192810,  -3.9425,  -3.8706,   4.3844,   3.7426,   6.4494,   4.9618,   3.0676,   2.2705,   1.3937,   2.2085,   3.9548,   4.9745,   2.6200,   0.2244,  -2.5111,   1.1211,  -1.0220,  -1.7468,   4.7413,  -3.6579,   1.5307,   2.9072,   1.3468,  -0.3684,   4.7495
192811,   3.8603,  30.1944,   7.7079,  16.7282,  12.7121,   6.6986,   7.8768,  10.3010,  13.4891,   8.2536,   9.6832,  11.3499,  18.7077,  13.5730,  16.1244,  10.9133,  11.8047,   9.7497,   7.7142,  14.2633,  11.5523,  10.4470,  16.0161,   9.1268,  17.8916
192812,  -5.4317,  -7.6129,  -5.4498,  -2.4336,  -1.7584,  -2.0855,  -2.6779,  -0.8414,  -4.1034,   0.3545,   2.9875,  -0.1130,   1.0567,   1.3172,   0.1950,   3.3647,   3.7035,   0.3174,   1.8959,  -3.3414,   0.5488,   1.1329,  -1.0390,   1.2815,   0.3681
192901,   2.9249,   8.2497,  -4.6113,   5.9949,   5.0850,   3.0510,   1.4272,   1.3733,  -0.2831,  -0.5381,   1.7963,   4.7587,  -4.7563,   3.8886,   2.4857,   4.6200,   4.8862,   3.7195,   1.2154,   1.1437,   6.5712,  10.2483,   2.3079,   4.9558,   0.0249
192902,   0.9617,  -7.9993,  -3.1236,   0.0022,  -1.3350,  -3.2503,   1.8518,   3.7589,   0.6559,   5.2949,   1.3557,   0.1955,   0.5910,   3.9779,   0.2441,  -1.4383,   1.4211,   3.5099,   0.3941,   1.9268,  -0.7916,   1.0302,   0.4413,   0.7335,   3.4624
192903, -14.5269,  -0.6033,  -2.9370,  -4.8020,  -2.2935,  -4.0760,  -5.8595,  -5.0828,  -2.3570,  -3.5270,  -6.8813,  -4.9069,  -2.7999,  -3.1709,  -5.7807,  -4.4668,  -5.1368,   0.2326,  -1.2300,  -1.1298,  -0.1714,   0.7840,   3.5141,   0.0416,   0.7663
192904,  -4.4228,  -8.8377,  -0.2482,   7.4085,  -1.9532,   0.0014,   0.8046,   4.7606,  -2.2911,   5.5759,   2.3639,   0.6879,   3.7299,  -0.2524,  -0.2471,   2.7085,   0.2672,  -0.4971,   1.7735,   4.5725,   2.0952,   2.8600,   0.8808,   0.8070,   2.8638
192905, -21.8773,  -6.4153, -17.4473, -15.5732, -12.9566, -11.2609, -11.7596,  -8.2818, -13.3411, -13.9818,  -7.0550, -10.5040,  -8.0171,  -9.0168,  -9.2075,  -7.1604, -10.5007,  -3.2425,  -5.0181,   0.9380,  -5.6330,  -5.9171,  -3.0771,  -2.6958,  -1.6714
192906,  15.9956,   4.0699,   4.0079,   6.8584,   6.7252,   3.6693,   6.7134,  11.0624,   4.2488,   6.7060,   7.3199,  10.8677,  10.0664,   7.9280,   8.5839,  13.3715,  10.7450,  11.0638,   9.1239,   3.5929,  11.9075,  13.6428,   7.9115,   7.7838,   4.7418
192907,   1.2390,  -5.2223,  -1.8987,  -8.9964,   2.3089,  -2.2962,   2.4271,  -1.5928,   0.3667,   6.2160,   0.4357,   3.7091,   0.8701,   0.0172,  10.7093,   1.8868,   2.7486,   1.9763,   2.4422,   4.4353,   2.9497,   6.5495,   5.9956,   8.4802,   5.1378
192908,  -4.1263,  -4.2272,  -8.9336,   4.6324,  -4.6987,  -1.2892,   0.4637,   0.3340,   0.8486,  -0.5221,   1.7465,   0.6631,   5.6055,   2.1585,  -0.2876,   3.3402,  -0.1111,   4.2272,   5.3704,   7.7631,   6.7578,  13.0514,  13.3057,  13.4117,   6.8157
